,title,brand,price,post link,image link,review,review amount
10,Zapatilla Panther Firenze Hombre,PANTHER,58.200,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=K5xzPp7opU40DZ7xL3y%2FBK%2BrLAVdIHZWoayOKTz7C45q4qGeSJa8gdgfTmHxL8jDzmuyL7YSsFnsUyBXeldMwO1AjlB05wWkbfjPnN0xCGI4XluaWbGJDlrdPllTL87IDKLzy1Y9Rp6eOxxB8ALQ8Dw%2BmKDHchzez916FL0XckcLaxeikbss9vNM7MVWLrfckADyU%2BrAw2PArOTKuqyzr6j9t3ZaDIVcTyIrimxFIGSj457DRA9NijL2dxm1sd9nL6pQ1L5ojUXBH1Amla%2BNMEwo28ofPxMxDJmlZpHTeKBdAuiw94INqQAtabNHZFIYYuCBIcvjwJrPBqKgp5aWrOZrQe94%2FMmUuHEv7hxM0I80%2BLr7DzfbEAQ0hFiZ5J6vgtgcqyOeIsn0Kl2HHmUJ5Uj5TBggXdC4xnoAYqhKQv4ZX1Gjwz%2BSalGIJWzYJwv7P9Zr8KZbrwNWp8qnBLivPzFPo6h1RSG5%2B7Ihb6EcYZKmtCA1%2F1onrhHYBWkFoviX3%2B6T9w5IWrUQyBD01G4Ywjmxa1oQCa4OAVQnSvZRi%2FTGYyPJ94jU8KvgiV%2BTqF67JJoZ37VUwzVLvvMlp4hYQgE%2B8LcRrKm56SpiLYQiG%2BH%2Fgvlm81qN63fIP3GV9Z4Yi2jQJ%2Fl94FEOndhyfmeGqJGqxMDpY%2B7%2FpLr%2Fxwm2D%2BIek3nAfLON&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,https://http2.mlstatic.com/D_NQ_NP_856963-MLA49324917851_032022-W.jpg,4.7,(19)
11,Zapatillas Jaguar Oficial Deportiva Art. #9324 39 Al 45,JAGUAR,29.615,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=t9EFHzd%2BJUI2TN190VRG9J6n353yrdtV4V%2FALbvgsbYE2F6%2FWnxNc6mnx0ft5XNU%2FPzAIRANlej07lfZ5uURsMfG%2BAGzHVUPxsuh8hmTSbvyQ4jfE6nWCW6m3nnT%2BKbNfjob0RhrojaU5pmvw4Ko8k3DHSfprmjmedIJo1h2mMntfX8jqFa%2BODOIMTm3GwYhr%2B3DGTY7QBvOi0Vz%2Bs7pAC7AFOcfRHLpxbKeMj5qEpIr%2Bk5UXHQlDNmKEZ4zSSEFTZW8Mseyq15D5qOgMDtdTeV6OxblW%2Byk66c5%2FlDY01HDvn8y%2FcgNR3dlHQjcbDxMFOvXBqm7FZZfFwvj0wC1pJlTNp4dNsjDPWvGD30p2qhmedp8dFrBR5BuNlii9%2F2Ws9iuEAd7gRe9nmtkxIPw38Zd2R%2BOE609sW%2BozDW7HBcFpGNVm5xourE77ThhInigLPm2GB1n0HmsYYIGKPzdYC9zXfdGT96Y95X66kl0rZf4kgr35Hs9RMKOZJcUjfTwm%2BC8NIhuxqFRJobFzDMYR0V%2F48aeq9gS5mznZbVFmarB2Wp4V4zZtJmN6%2BpDInbdv81%2B5Op3Rga%2Btal%2BQ9VXA9cQgwTLG0s4IIOM3HCuI05ue7m24Eru93Ru5qJ56%2BYQUGEO4s35TpL6jaursiQ115isfqIpDuXG8s2WCUfe6rThG1Pr5biBA7aBz76Gj4r29zABFPyGbkL%2BcdHnLUJ6&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,https://http2.mlstatic.com/D_NQ_NP_961170-MLA72329572889_102023-W.jpg,4.5,(133)
12,Zapatillas Jaguar Oficial Deportiva Art. #9327 39 Al 45,JAGUAR,27.280,https://articulo.mercadolibre.com.ar/MLA-1264219193-zapatillas-jaguar-oficial-deportiva-art-9327-39-al-45-_JM#position=16&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_971355-MLA72265829680_102023-W.jpg,4.6,(679)
13,Jaguar 320 Sin género Adultos,JAGUAR,6.800,https://www.mercadolibre.com.ar/zapatillas-sin-genero-jaguar-320-color-negrogris-adulto/p/MLA27280620?pdp_filters=category:MLA109027#searchVariation=MLA27280620&position=4&search_layout=grid&type=product&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_731516-MLA71876288732_092023-W.jpg,4.6,(871)
14,Zapatilla Hombre Urbana Livanas Art. 1073,DELI,11.990,https://articulo.mercadolibre.com.ar/MLA-926488501-zapatilla-hombre-urbana-livanas-art-1073-_JM#position=17&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_721858-MLA50763288428_072022-W.jpg,4.4,(2130)
15,Zapatillas Ozono Skate ,OZONO,18.800,https://articulo.mercadolibre.com.ar/MLA-883188633-zapatillas-ozono-skate-_JM#position=18&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_632564-MLA72246175686_102023-W.jpg,4.4,(1448)
16,Zapatilla Blanca Puma Carina 2.0 Pop Up Metallics,PUMA,63.999,https://articulo.mercadolibre.com.ar/MLA-1536238958-zapatilla-blanca-puma-carina-20-pop-up-metallics-_JM#position=19&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_927352-MLA72242438809_102023-W.jpg,4.4,(231)
17,Jaguar 9334 Mujer Adultos,JAGUAR,25.654,https://www.mercadolibre.com.ar/zapatillas-para-mujer-jaguar-9334-color-gris-adulto/p/MLA27702064?pdp_filters=category:MLA109027#searchVariation=MLA27702064&position=5&search_layout=grid&type=product&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_864110-MLA72157528576_102023-W.jpg,4.8,(62)
18,Zapatillas Jaguar Oficial  Art. #4305 39 Al 45,JAGUAR,22.380,https://articulo.mercadolibre.com.ar/MLA-1559151866-zapatillas-jaguar-oficial-art-4305-39-al-45-_JM#position=20&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_643427-MLA72761760623_112023-W.jpg,4.7,(19)
19,Zapatillas Zapato De Vestir Cuero Hombre Urbanas ,LIBERTARIOS,39.998,https://articulo.mercadolibre.com.ar/MLA-1138067862-zapatillas-zapato-de-vestir-cuero-hombre-urbanas-_JM#position=21&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_898372-MLA71255623052_082023-W.jpg,4.6,(316)
